metric,value
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,97.295086
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.721685
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,89.313289
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,83.029094
tinyface.tinyface_aligned_pad_0.1.rank-1,57.215667
tinyface.tinyface_aligned_pad_0.1.rank-20,67.086911
tinyface.tinyface_aligned_pad_0.1.rank-5,63.116956
verification.agedb_30.Accuracy-Flip,0.966833
verification.agedb_30.Accuracy-Std,0.007690
verification.agedb_30.XNorm,22.376447
verification.calfw.Accuracy-Flip,0.955000
verification.calfw.Accuracy-Std,0.010138
verification.calfw.XNorm,22.812824
verification.cfp_ff.Accuracy-Flip,0.996000
verification.cfp_ff.Accuracy-Std,0.002914
verification.cfp_ff.XNorm,22.388356
verification.cfp_fp.Accuracy-Flip,0.951429
verification.cfp_fp.Accuracy-Std,0.011102
verification.cfp_fp.XNorm,19.818867
verification.cplfw.Accuracy-Flip,0.895000
verification.cplfw.Accuracy-Std,0.019105
verification.cplfw.XNorm,19.969832
verification.lfw.Accuracy-Flip,0.994667
verification.lfw.Accuracy-Std,0.004397
verification.lfw.XNorm,22.757159
verification.vgg2_fp.Accuracy-Flip,0.933000
verification.vgg2_fp.Accuracy-Std,0.010363
verification.vgg2_fp.XNorm,20.210562
