metric,value
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,97.448484
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.726799
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,90.172317
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,80.472465
tinyface.tinyface_aligned_pad_0.1.rank-1,58.932406
tinyface.tinyface_aligned_pad_0.1.rank-20,67.569745
tinyface.tinyface_aligned_pad_0.1.rank-5,63.304722
verification.agedb_30.Accuracy-Flip,0.960667
verification.agedb_30.Accuracy-Std,0.009404
verification.agedb_30.XNorm,8.734525
verification.calfw.Accuracy-Flip,0.952333
verification.calfw.Accuracy-Std,0.012229
verification.calfw.XNorm,9.122025
verification.cfp_ff.Accuracy-Flip,0.995286
verification.cfp_ff.Accuracy-Std,0.001922
verification.cfp_ff.XNorm,8.867061
verification.cfp_fp.Accuracy-Flip,0.943286
verification.cfp_fp.Accuracy-Std,0.012953
verification.cfp_fp.XNorm,7.572466
verification.cplfw.Accuracy-Flip,0.898333
verification.cplfw.Accuracy-Std,0.014795
verification.cplfw.XNorm,7.685643
verification.lfw.Accuracy-Flip,0.995000
verification.lfw.Accuracy-Std,0.002981
verification.lfw.XNorm,9.128443
verification.vgg2_fp.Accuracy-Flip,0.928600
verification.vgg2_fp.Accuracy-Std,0.006070
verification.vgg2_fp.XNorm,7.799781
