metric,value
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,97.504730
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.818837
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,90.003579
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,80.896866
tinyface.tinyface_aligned_pad_0.1.rank-1,58.690989
tinyface.tinyface_aligned_pad_0.1.rank-20,68.454933
tinyface.tinyface_aligned_pad_0.1.rank-5,64.028972
verification.agedb_30.Accuracy-Flip,0.958167
verification.agedb_30.Accuracy-Std,0.008675
verification.agedb_30.XNorm,22.014376
verification.calfw.Accuracy-Flip,0.949167
verification.calfw.Accuracy-Std,0.009136
verification.calfw.XNorm,23.071873
verification.cfp_ff.Accuracy-Flip,0.995286
verification.cfp_ff.Accuracy-Std,0.002478
verification.cfp_ff.XNorm,22.433016
verification.cfp_fp.Accuracy-Flip,0.952429
verification.cfp_fp.Accuracy-Std,0.009898
verification.cfp_fp.XNorm,19.035782
verification.cplfw.Accuracy-Flip,0.897333
verification.cplfw.Accuracy-Std,0.015920
verification.cplfw.XNorm,19.157034
verification.lfw.Accuracy-Flip,0.995000
verification.lfw.Accuracy-Std,0.002981
verification.lfw.XNorm,23.001980
verification.vgg2_fp.Accuracy-Flip,0.926000
verification.vgg2_fp.Accuracy-Std,0.008809
verification.vgg2_fp.XNorm,19.495108
