metric,value
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.01,97.555862
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_0.1,98.737025
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-05,90.325715
ijb.IJBC_gt_aligned.Norm:True_Det:True_tpr_at_fpr_1e-06,79.669683
tinyface.tinyface_aligned_pad_0.1.rank-1,59.307939
tinyface.tinyface_aligned_pad_0.1.rank-20,68.293989
tinyface.tinyface_aligned_pad_0.1.rank-5,64.431328
verification.agedb_30.Accuracy-Flip,0.962000
verification.agedb_30.Accuracy-Std,0.008393
verification.agedb_30.XNorm,22.033501
verification.calfw.Accuracy-Flip,0.952667
verification.calfw.Accuracy-Std,0.009135
verification.calfw.XNorm,23.059222
verification.cfp_ff.Accuracy-Flip,0.994429
verification.cfp_ff.Accuracy-Std,0.003094
verification.cfp_ff.XNorm,22.391218
verification.cfp_fp.Accuracy-Flip,0.951000
verification.cfp_fp.Accuracy-Std,0.012762
verification.cfp_fp.XNorm,18.808542
verification.cplfw.Accuracy-Flip,0.902167
verification.cplfw.Accuracy-Std,0.012997
verification.cplfw.XNorm,19.028494
verification.lfw.Accuracy-Flip,0.994833
verification.lfw.Accuracy-Std,0.003202
verification.lfw.XNorm,23.000246
verification.vgg2_fp.Accuracy-Flip,0.931400
verification.vgg2_fp.Accuracy-Std,0.010082
verification.vgg2_fp.XNorm,19.340983
